engine.displacement,acceleration
350,11.5
318,11
302,10.5
429,10
740,10.5
455,10
383,10
340,3
455,10
113,15
199,15.5
97,20.5
110,17.5
104,17.5
121,12.5
360,1.4
307,15
304,18.5
97,14.5
113,14
250,15.5
232,15.5
350,12
318,13
400,12
400,12
140,19
250,15
122,14
116,14
88,14.5
71,19
97,19
91,20.5
97.5,17
122,16.5
350,12
318,13.5
351,13
429,11
350,13.5
400,12.5
70,13.5
307,14
302,16
121,14.5
121,18
122,16
120,14.5
98,15
350,13
304,11.5
302,14.5
318,12.5
400,12
351,13
440,11
455,21
225,16.5
250,18
250,16.5
198,16
400,14
350,12.5
232,15
140,19.5
108,16.5
122,18.5
155,14
350,13
400,9.5
116,15.5
114,14
318,11
121,14
350,11
198,16.5
232,16
122,16.5
71,21
250,17
258,18
302,14
350,14.5
302,16
304,15.5
79,15.5
97,14.5
83,19
90,14.5
116,14
120,15
79,16
225,16
250,19.5
400,11.5
350,14
351,13.5
231,21
258,19
225,19
262,13.5
302,12
140,17
232,16
134,13.5
90,16.5
171,14.5
115,15
120,17
121,13.5
91,17.5
116,16.9
140,14.9
101,15.3
305,13
304,13.9
351,12.8
250,14.5
200,17.6
85,20.1
98,22.1
225,17.7
850,16.2
258,17.8
25,17
97,16.4
130,15.7
318,13.2
168,16.7
350,12.1
302,15
318,14
111,14.8
79,18.6
85,16.8
305,12.5
318,13.7
231,16.9
225,17.7
400,11.1
350,11.4
351,14.5
97,14.5
97,18.2
140,15.8
98,15.9
97,16.4
146,14.5
121,12.8
90,21.5
98,14.4
85,18.6
318,13.2
302,12.8
200,18.2
200,15.8
225,17.2
232,17.2
200,16.7
225,18.7
305,13.2
231,13.4
318,13.7
98,16.5
119,14.7
105,14.5
151,17.6
131,15.9
163,13.6
163,15.8
89,14.9
98,16.6
200,18.2
140,17.3
225,16.6
305,15.4
351,13.2
318,15.2
351,14.3
267,15
89,14
26,15.2
121,15
141,24.8
260,22.2
105,14.9
85,19.2
151,16
173,11.3
151,13.2
98,14.7
98,15.5
86,16.4
140,18.1
151,20.1
97,15.8
134,15.5
119,8
108,15.2
156,14.4
85,19.2
121,19.9
91,13.8
89,15.3
122,15.1
135,15.7
151,16.4
173,12.6
135,12.9
86,16.4
81,16.1
85,19.4
89,17.3
105,14.9
98,16.2
105,14.2
119,14.8
141,20.4
146,13.8
231,15.8
200,17.1
225,16.6
112,18.6
112,18
135,16
151,18
105,15.3
91,17.6
105,14.7
120,14.5
107,14.5
91,15.7
181,16.4
262,7
144,13.9
151,17.3
140,15.6
135,11.6
120,18.6
